sr no ,rank,cutoff,intitute name,branch,Exam
131,87961,20.7823333,"5103 - Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College
of Engineering,Dhule",Mechanical Engineering,MHT-CET
132,88110,20.0386881,"6203 - Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Civil Engineering,MHT-CET
133,88159,19.9043634,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Mechanical Engineering,MHT-CET
134,88170,19.8181667,"6643 - S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Civil Engineering,MHT-CET
135,88303,19.4849646,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Artificial Intelligence and Data Science,MHT-CET
136,88426,19.340131,"6795 - Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of
Engineering & Technology, Someshwar Nagar",Computer Engineering,MHT-CET
137,88562,18.8856852,4163 - Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Mechanical Engineering,MHT-CET
138,88577,18.4796096,"6203 - Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Mechanical Engineering,MHT-CET
139,88696,18.3983482,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek",Civil Engineering,MHT-CET
140,88732,18.3983482,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Electrical Engineering,MHT-CET
141,88768,18.1973808,"3223 - Mahatma Education Society's Pillai HOC College of Engineering & Technology,
Tal. Khalapur. Dist. Raigad",Electrical Engineering,MHT-CET
142,88878,17.563968,"6766 - Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-
Satara",Computer Engineering,MHT-CET
143,89046,16.9155059,"6214 - K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Mechanical Engineering Automobile,MHT-CET
144,89319,16.6127829,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of
Engineering,Wagholi, Pune","Electronics and Telecommunication
Engg",MHT-CET
145,89330,16.1126187,"1107 - P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated
Campus), Amravati",Civil Engineering,MHT-CET
146,89427,15.7215545,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Civil Engineering,MHT-CET
147,89443,15.7215545,"6307 - Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal.
Haveli","Electronics and Telecommunication
Engg",MHT-CET
148,89472,15.7020873,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering,MHT-CET
149,89531,15.7002233,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Electrical Engineering,MHT-CET
150,89584,15.0472534,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Mechanical Engineering,MHT-CET
151,89721,14.7852363,"5104 - Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Civil Engineering,MHT-CET
